time,P,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20200107:2111,0.0,0.0,0.0,0.0,0.0,3.25,3.17,0.0
20200107:2211,0.0,0.0,0.0,0.0,0.0,3.03,3.38,0.0
20200107:2311,0.0,0.0,0.0,0.0,0.0,2.99,3.59,0.0
20200108:0011,0.0,0.0,0.0,0.0,0.0,3.05,3.79,0.0
20200108:0111,0.0,0.0,0.0,0.0,0.0,3.08,3.93,0.0
20200108:0211,0.0,0.0,0.0,0.0,0.0,3.18,4.0,0.0
20200108:0311,0.0,0.0,0.0,0.0,0.0,3.38,4.21,0.0
20200108:0411,0.0,0.0,0.0,0.0,0.0,3.78,4.28,0.0
20200108:0511,0.0,0.0,0.0,0.0,0.0,3.84,4.28,0.0
20200108:0611,0.0,0.0,0.0,0.0,0.0,3.9,4.41,0.0
20200108:0711,0.0,0.0,0.0,0.0,0.0,4.28,4.48,0.0
20200108:0811,89.42,10.0,31.45,0.0,5.42,4.56,4.55,0.0
20200108:0911,51.75,0.0,25.0,0.0,10.66,4.68,4.55,0.0
20200108:1011,120.33,0.0,45.0,0.0,14.03,4.88,4.48,0.0
20200108:1111,247.36,1.0,78.0,0.0,15.23,5.15,4.48,0.0
20200108:1211,74.48,0.0,32.0,0.0,14.17,5.65,4.34,0.0
20200108:1311,108.86,0.0,42.0,0.0,10.93,6.13,4.21,0.0
20200108:1411,0.68,0.0,6.0,0.0,5.8,6.6,4.14,0.0
20200108:1511,0.0,0.0,0.0,0.0,0.0,7.01,4.07,0.0
20200108:1611,0.0,0.0,0.0,0.0,0.0,7.39,3.93,0.0
20200108:1711,0.0,0.0,0.0,0.0,0.0,7.74,3.86,0.0
20200108:1811,0.0,0.0,0.0,0.0,0.0,8.03,3.72,0.0
20200108:1911,0.0,0.0,0.0,0.0,0.0,7.6,3.59,0.0
20200108:2011,0.0,0.0,0.0,0.0,0.0,7.62,3.45,0.0
20200108:2111,0.0,0.0,0.0,0.0,0.0,7.6,3.31,0.0
20200108:2211,0.0,0.0,0.0,0.0,0.0,7.62,3.1,0.0
20200108:2311,0.0,0.0,0.0,0.0,0.0,7.58,2.69,0.0
20200109:0011,0.0,0.0,0.0,0.0,0.0,7.55,2.55,0.0
20200109:0111,0.0,0.0,0.0,0.0,0.0,7.51,2.48,0.0
20200109:0211,0.0,0.0,0.0,0.0,0.0,7.45,2.14,0.0
20200109:0311,0.0,0.0,0.0,0.0,0.0,7.34,2.14,0.0
20200109:0411,0.0,0.0,0.0,0.0,0.0,7.26,2.34,0.0
20200109:0511,0.0,0.0,0.0,0.0,0.0,7.19,2.34,0.0
20200109:0611,0.0,0.0,0.0,0.0,0.0,7.1,2.41,0.0
20200109:0711,0.0,0.0,0.0,0.0,0.0,6.91,2.9,0.0
20200109:0811,93.33,12.0,31.9,0.0,5.51,6.89,2.97,0.0
20200109:0911,140.54,0.0,51.0,0.0,10.76,7.0,3.31,0.0
20200109:1011,303.66,5.0,90.0,0.0,14.15,7.26,3.45,0.0
20200109:1111,542.43,43.0,118.0,0.0,15.37,7.68,3.59,0.0
20200109:1211,487.48,40.0,108.0,0.0,14.32,8.3,3.72,0.0
20200109:1311,227.34,5.0,71.0,0.0,11.09,8.64,3.66,0.0
20200109:1411,47.38,0.0,24.0,0.0,5.96,8.99,3.66,0.0
20200109:1511,0.0,0.0,0.0,0.0,0.0,9.27,3.79,0.0
20200109:1611,0.0,0.0,0.0,0.0,0.0,9.49,3.72,0.0
20200109:1711,0.0,0.0,0.0,0.0,0.0,9.67,3.72,0.0
20200109:1811,0.0,0.0,0.0,0.0,0.0,9.85,3.72,0.0
20200109:1911,0.0,0.0,0.0,0.0,0.0,9.6,3.79,0.0
20200109:2011,0.0,0.0,0.0,0.0,0.0,9.72,3.66,0.0
20200109:2111,0.0,0.0,0.0,0.0,0.0,9.87,3.52,0.0
20200109:2211,0.0,0.0,0.0,0.0,0.0,9.97,3.45,0.0
20200109:2311,0.0,0.0,0.0,0.0,0.0,10.02,3.59,0.0
20200110:0011,0.0,0.0,0.0,0.0,0.0,10.06,3.59,0.0
20200110:0111,0.0,0.0,0.0,0.0,0.0,10.0,3.38,0.0
20200110:0211,0.0,0.0,0.0,0.0,0.0,9.89,3.24,0.0
20200110:0311,0.0,0.0,0.0,0.0,0.0,9.76,3.31,0.0
20200110:0411,0.0,0.0,0.0,0.0,0.0,9.66,3.45,0.0
20200110:0511,0.0,0.0,0.0,0.0,0.0,9.51,3.45,0.0
20200110:0611,0.0,0.0,0.0,0.0,0.0,9.31,3.66,0.0
20200110:0711,0.0,0.0,0.0,0.0,0.0,9.69,4.21,0.0
20200110:0811,50.36,0.0,25.0,0.0,5.6,9.64,4.41,0.0
20200110:0911,287.5,16.0,79.0,0.0,10.87,9.7,4.69,0.0
20200110:1011,201.15,0.0,68.0,0.0,14.27,9.66,4.55,0.0
20200110:1111,743.54,150.01,78.0,0.0,15.51,10.0,4.55,0.0
20200110:1211,686.02,156.01,62.0,0.0,14.48,10.41,4.97,0.0
20200110:1311,415.84,75.01,68.0,0.0,11.26,10.47,4.83,0.0
20200110:1411,44.05,0.0,23.0,0.0,6.14,10.05,4.34,0.0
20200110:1511,0.0,0.0,0.0,0.0,0.0,9.32,3.86,0.0
20200110:1611,0.0,0.0,0.0,0.0,0.0,8.97,3.79,0.0
20200110:1711,0.0,0.0,0.0,0.0,0.0,8.69,4.21,0.0
20200110:1811,0.0,0.0,0.0,0.0,0.0,7.98,4.76,0.0
20200110:1911,0.0,0.0,0.0,0.0,0.0,7.28,4.69,0.0
20200110:2011,0.0,0.0,0.0,0.0,0.0,7.01,4.76,0.0
20200110:2111,0.0,0.0,0.0,0.0,0.0,6.56,4.76,0.0
20200110:2211,0.0,0.0,0.0,0.0,0.0,6.09,4.83,0.0
20200110:2311,0.0,0.0,0.0,0.0,0.0,5.71,4.69,0.0
20200111:0011,0.0,0.0,0.0,0.0,0.0,5.48,4.41,0.0
20200111:0111,0.0,0.0,0.0,0.0,0.0,5.32,4.28,0.0
20200111:0211,0.0,0.0,0.0,0.0,0.0,5.19,4.28,0.0
20200111:0311,0.0,0.0,0.0,0.0,0.0,5.1,4.07,0.0
20200111:0411,0.0,0.0,0.0,0.0,0.0,5.04,3.72,0.0
20200111:0511,0.0,0.0,0.0,0.0,0.0,5.01,3.59,0.0
20200111:0611,0.0,0.0,0.0,0.0,0.0,5.0,3.52,0.0
20200111:0711,0.0,0.0,0.0,0.0,0.0,4.37,3.1,0.0
20200111:0811,42.34,0.0,22.0,0.0,5.69,4.38,2.97,0.0
20200111:0911,174.78,1.0,59.0,0.0,10.99,4.48,2.69,0.0
20200111:1011,439.74,21.0,110.0,0.0,14.41,4.86,3.17,0.0
20200111:1111,510.08,26.0,123.0,0.0,15.67,5.32,2.9,0.0
20200111:1211,672.88,113.01,91.0,0.0,14.64,5.45,2.9,0.0
20200111:1311,414.99,54.0,81.0,0.0,11.43,5.7,3.31,0.0
20200111:1411,143.78,20.0,41.0,0.0,6.31,5.7,2.97,0.0
20200111:1511,0.0,0.0,0.0,0.0,0.0,5.18,2.83,0.0
20200111:1611,0.0,0.0,0.0,0.0,0.0,4.68,3.03,0.0
20200111:1711,0.0,0.0,0.0,0.0,0.0,3.99,3.24,0.0
20200111:1811,0.0,0.0,0.0,0.0,0.0,3.52,3.45,0.0
20200111:1911,0.0,0.0,0.0,0.0,0.0,3.4,3.72,0.0
20200111:2011,0.0,0.0,0.0,0.0,0.0,3.19,3.86,0.0
20200111:2111,0.0,0.0,0.0,0.0,0.0,2.93,3.93,0.0
20200111:2211,0.0,0.0,0.0,0.0,0.0,2.74,3.86,0.0
20200111:2311,0.0,0.0,0.0,0.0,0.0,2.54,3.79,0.0
20200112:0011,0.0,0.0,0.0,0.0,0.0,2.37,3.72,0.0
20200112:0111,0.0,0.0,0.0,0.0,0.0,2.11,3.66,0.0
20200112:0211,0.0,0.0,0.0,0.0,0.0,1.81,3.66,0.0
20200112:0311,0.0,0.0,0.0,0.0,0.0,1.57,3.59,0.0
20200112:0411,0.0,0.0,0.0,0.0,0.0,1.39,3.66,0.0
20200112:0511,0.0,0.0,0.0,0.0,0.0,1.29,3.72,0.0
20200112:0611,0.0,0.0,0.0,0.0,0.0,1.38,3.72,0.0
20200112:0711,0.0,0.0,0.0,0.0,0.0,1.21,3.93,0.0
20200112:0811,140.98,40.01,30.0,0.0,5.8,1.5,4.0,0.0
20200112:0911,347.67,26.0,84.0,0.0,11.11,2.46,3.93,0.0
20200112:1011,725.98,154.01,68.0,0.0,14.55,3.49,3.86,0.0
20200112:1111,771.88,133.01,94.0,0.0,15.83,4.41,4.28,0.0
20200112:1211,781.11,187.01,54.0,0.0,14.81,5.08,4.34,0.0
20200112:1311,514.71,132.01,46.0,0.0,11.61,5.33,3.86,0.0
20200112:1411,171.04,44.01,35.0,0.0,6.49,5.14,4.07,0.0
20200112:1511,0.0,0.0,0.0,0.0,0.0,4.53,4.0,0.0
20200112:1611,0.0,0.0,0.0,0.0,0.0,4.16,4.21,0.0
20200112:1711,0.0,0.0,0.0,0.0,0.0,4.57,4.55,0.0
20200112:1811,0.0,0.0,0.0,0.0,0.0,5.44,4.9,0.0
20200112:1911,0.0,0.0,0.0,0.0,0.0,5.5,5.38,0.0
20200112:2011,0.0,0.0,0.0,0.0,0.0,5.87,5.59,0.0
20200112:2111,0.0,0.0,0.0,0.0,0.0,6.12,5.66,0.0
20200112:2211,0.0,0.0,0.0,0.0,0.0,6.34,5.59,0.0
20200112:2311,0.0,0.0,0.0,0.0,0.0,6.57,5.45,0.0
20200113:0011,0.0,0.0,0.0,0.0,0.0,6.62,5.31,0.0
20200113:0111,0.0,0.0,0.0,0.0,0.0,6.82,5.03,0.0
20200113:0211,0.0,0.0,0.0,0.0,0.0,6.93,4.69,0.0
20200113:0311,0.0,0.0,0.0,0.0,0.0,7.04,4.41,0.0
20200113:0411,0.0,0.0,0.0,0.0,0.0,7.04,4.14,0.0
20200113:0511,0.0,0.0,0.0,0.0,0.0,6.97,3.86,0.0
20200113:0611,0.0,0.0,0.0,0.0,0.0,6.66,3.45,0.0
20200113:0711,0.0,0.0,0.0,0.0,0.0,6.25,2.9,0.0
20200113:0811,109.12,8.0,38.0,0.0,5.91,5.88,2.48,0.0
20200113:0911,372.78,38.0,83.0,0.0,11.24,6.16,2.48,0.0
20200113:1011,241.2,1.0,77.0,0.0,14.7,6.68,2.41,0.0
20200113:1111,422.91,11.0,115.0,0.0,15.99,7.16,2.9,0.0
20200113:1211,510.44,35.0,117.0,0.0,14.99,7.47,3.38,0.0
20200113:1311,393.12,38.0,88.0,0.0,11.79,7.56,3.52,0.0
20200113:1411,161.64,25.0,43.0,0.0,6.68,7.21,2.97,0.0
20200113:1511,0.0,0.0,0.0,0.0,0.0,6.33,2.83,0.0
20200113:1611,0.0,0.0,0.0,0.0,0.0,5.37,2.83,0.0
20200113:1711,0.0,0.0,0.0,0.0,0.0,4.79,3.03,0.0
20200113:1811,0.0,0.0,0.0,0.0,0.0,4.62,3.03,0.0
20200113:1911,0.0,0.0,0.0,0.0,0.0,4.12,2.48,0.0
20200113:2011,0.0,0.0,0.0,0.0,0.0,3.68,2.41,0.0
20200113:2111,0.0,0.0,0.0,0.0,0.0,3.33,2.69,0.0
20200113:2211,0.0,0.0,0.0,0.0,0.0,3.23,2.83,0.0
20200113:2311,0.0,0.0,0.0,0.0,0.0,3.56,3.03,0.0
20200114:0011,0.0,0.0,0.0,0.0,0.0,3.75,3.24,0.0
20200114:0111,0.0,0.0,0.0,0.0,0.0,3.51,3.31,0.0
20200114:0211,0.0,0.0,0.0,0.0,0.0,3.47,3.45,0.0
20200114:0311,0.0,0.0,0.0,0.0,0.0,3.24,3.72,0.0
20200114:0411,0.0,0.0,0.0,0.0,0.0,3.52,3.93,0.0
20200114:0511,0.0,0.0,0.0,0.0,0.0,4.15,4.14,0.0
20200114:0611,0.0,0.0,0.0,0.0,0.0,4.56,4.41,0.0
20200114:0711,0.0,0.0,0.0,0.0,0.0,5.78,4.83,0.0
20200114:0811,13.68,0.0,12.0,0.0,6.03,6.13,5.03,0.0
20200114:0911,384.84,43.0,82.0,0.0,11.38,6.64,5.38,0.0
20200114:1011,203.49,0.0,68.0,0.0,14.86,7.42,5.38,0.0
20200114:1111,649.04,67.0,123.0,0.0,16.16,8.09,5.24,0.0
20200114:1211,470.7,25.0,116.0,0.0,15.17,9.05,5.17,0.0
20200114:1311,496.53,109.01,60.0,0.0,11.98,9.52,4.97,0.0
20200114:1411,164.48,25.0,44.0,0.0,6.88,9.6,4.62,0.0
20200114:1511,0.0,0.0,0.0,0.0,0.0,9.69,4.34,0.0
20200114:1611,0.0,0.0,0.0,0.0,0.0,9.25,4.14,0.0
20200114:1711,0.0,0.0,0.0,0.0,0.0,8.94,4.34,0.0
20200114:1811,0.0,0.0,0.0,0.0,0.0,8.48,4.48,0.0
20200114:1911,0.0,0.0,0.0,0.0,0.0,9.68,5.17,0.0
20200114:2011,0.0,0.0,0.0,0.0,0.0,9.69,5.17,0.0
20200114:2111,0.0,0.0,0.0,0.0,0.0,9.47,5.24,0.0
20200114:2211,0.0,0.0,0.0,0.0,0.0,9.44,5.38,0.0
20200114:2311,0.0,0.0,0.0,0.0,0.0,9.39,5.38,0.0
20200115:0011,0.0,0.0,0.0,0.0,0.0,9.24,5.24,0.0
20200115:0111,0.0,0.0,0.0,0.0,0.0,9.18,5.1,0.0
20200115:0211,0.0,0.0,0.0,0.0,0.0,9.24,4.97,0.0
20200115:0311,0.0,0.0,0.0,0.0,0.0,9.14,4.83,0.0
20200115:0411,0.0,0.0,0.0,0.0,0.0,8.97,4.69,0.0
20200115:0511,0.0,0.0,0.0,0.0,0.0,8.77,4.55,0.0
20200115:0611,0.0,0.0,0.0,0.0,0.0,8.88,4.55,0.0
20200115:0711,0.0,0.0,0.0,0.0,0.0,9.75,4.9,0.0
20200115:0811,129.46,16.0,40.0,0.0,6.15,9.44,4.97,0.0
20200115:0911,294.34,14.0,82.0,0.0,11.52,9.89,5.1,0.0
20200115:1011,540.72,47.0,116.0,0.0,15.02,10.45,5.03,0.0
20200115:1111,539.01,33.0,127.0,0.0,16.34,11.04,4.9,0.0
20200115:1211,723.92,145.01,79.0,0.0,15.37,11.47,4.76,0.0
20200115:1311,423.63,51.0,87.0,0.0,12.18,11.48,5.03,0.0
20200115:1411,189.54,51.01,36.0,0.0,7.07,11.09,4.69,0.0
20200115:1511,0.0,0.0,0.0,0.0,0.0,10.24,4.34,0.0
20200115:1611,0.0,0.0,0.0,0.0,0.0,9.43,4.41,0.0
